Title,ribbon,photocount,Image,Field,Field1,h3,Keywords,wsnr,agentlogowrap_URL,Image2,Image3
"Newly built Executive 3 Bedroom self compound house in a gated community for rent @ Paradise Estate, East Lego... Read more",PREMIUM, 19,https://dve7rykno93gs.cloudfront.net/temp/out/85288e,https://meqasa.com/house-for-rent-at-East-Legon-Hill-085288?y=1865434928,"3 bedroom house for rent at East Legon Hill, Ghana","
			  PriceGH₵6,500 / month
			","
				3
				4
				3
				300 m2
				
			",Today,https://meqasa.com/properties-listed-by-Global%20Properties%20Limited?g=53663,https://dve7rykno93gs.cloudfront.net/fascimos/somics/2105693586,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
"Executive 3-bedroom house with boys quarter going for rent at Ashaley Botwe Lakeside Estate community 8, price... Read more",PREMIUM, 5,https://dve7rykno93gs.cloudfront.net/temp/out/236807c,https://meqasa.com/house-for-rent-at-Ashaley-Botwe-236807?y=1865434928,"3 bedroom house for rent at Ashaley Botwe, Ghana","
			  PriceGH₵4,500 / month
			","
				3
				4
				4
								
			",Today,https://meqasa.com/properties-listed-by-Rosemary%20Sarfo?g=1983593828,https://dve7rykno93gs.cloudfront.net/fascimos/somics/1881668416,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
4 bedroom house plus a study and a 3 bedroom boys quarters with a swimming pool and a big garden renting at $4... Read more,PREMIUM, 8,https://dve7rykno93gs.cloudfront.net/temp/out/238108a,https://meqasa.com/house-for-rent-at-Abelemkpe-238108?y=1865434928,"4 bedroom furnished house for rent at Abelemkpe, Ghana","
			  PriceGH₵35,531 / month
			","
				4
				4
												
			",Today,https://meqasa.com/properties-listed-by-Expat%20GH?g=993728138,https://dve7rykno93gs.cloudfront.net/fascimos/somics/1374038365,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
"Luxury Newly built 3 bedroom ensuite 
plus 2 visitors washrooms, Generator set, solar system, 2 kitchen, big w... Read more",PREMIUM, 15,https://dve7rykno93gs.cloudfront.net/temp/out/233204i,https://meqasa.com/house-for-rent-at-New-Achimota-233204?y=1865434928,"3 bedroom furnished house for rent at New Achimota, Ghana","
			  PriceGH₵9,033 / month
			","
				3
				3
				2
								
			",Today,https://meqasa.com/properties-listed-by-Pure%20Plan%20properties?g=1211772589,https://dve7rykno93gs.cloudfront.net/fascimos/somics/1247304733,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge.png
Newly built 2 bedrooms for rent at east legon right behind melcom and very close to papa's Pizza..its actually... Read more,PREMIUM, 9,https://dve7rykno93gs.cloudfront.net/temp/out/149508f,https://meqasa.com/house-for-rent-at-East-legon-papa's-Pizza--149508?y=1865434928,"2 bedroom house for rent at East legon papa's Pizza , Ghana","
			  PriceGH₵5,269 / month
			","
				2
				3
												
			",Today,https://meqasa.com/properties-listed-by-Kelvin%20Darlington?g=654345563,https://dve7rykno93gs.cloudfront.net/fascimos/somics/1630362372,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge.png
3bedroom house for rent in a gated community. Fitted kitchen cabinets Constant water flow Serene environmen... Read more,PREMIUM, 3,https://dve7rykno93gs.cloudfront.net/temp/out/87658c,https://meqasa.com/house-for-rent-at-oyarifah-087658?y=1865434928,"3 bedroom house for rent at oyarifah, Ghana","
			  PriceGH₵3,900 / month
			","
				3
				3
				2
				150 m2
				
			",Today,https://meqasa.com/properties-listed-by-PARADISE%20MARKETING%20CONCEPT?g=1366166558,https://dve7rykno93gs.cloudfront.net/fascimos/somics/23159892,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
A cute 4 bedroom house plus a 2 bedroom servants quarters inside the airport hills gated community. The most e... Read more,PREMIUM, 27,https://dve7rykno93gs.cloudfront.net/temp/out/175905f,https://meqasa.com/house-for-rent-at-Airport-Hills-175905?y=1865434928,"4 bedroom house for rent at Airport Hills, Ghana","
			  PriceGH₵28,000 / month
			","
				4
				4
				6
				400 m2
				
			",Today,https://meqasa.com/properties-listed-by-Just%20Bond?g=1168292843,https://dve7rykno93gs.cloudfront.net/fascimos/somics/1911864295,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
"Brand new 3 bedroom house for rent at Oyarifa Special Ice.
Located in a serene and cool neighborhood.
Easy acc... Read more",PREMIUM, 12,https://dve7rykno93gs.cloudfront.net/temp/out/243668a,https://meqasa.com/house-for-rent-at-Oyarifa-243668?y=1865434928,"3 bedroom house for rent at Oyarifa, Ghana","
			  PriceGH₵2,500 / month
			","
				3
				3
								325 m2
				
			",Today,https://meqasa.com/properties-listed-by-Nana%20Kweku%20Andoh?g=923193015,https://dve7rykno93gs.cloudfront.net/fascimos/somics/1074273873,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
"Overview
A 5-bedroom, 3-floor house (part of a duplex), which can either be used as a primary residence or co... Read more",PREMIUM, 18,https://dve7rykno93gs.cloudfront.net/temp/out/165924g,https://meqasa.com/house-for-rent-at-Airport-Residential-Area-165924?y=1865434928,"5 bedroom house for rent at Airport Residential Area, Ghana","
			  PriceGH₵30,000 / month
			","
				5
				6
				1
								
			",Today,https://meqasa.com/properties-listed-by-Paul%20?g=1545967162,https://dve7rykno93gs.cloudfront.net/fascimos/somics/658015338,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge3.png
"3bedroom house for rent in a gated community.
Fitted kitchen cabinets
Constant water flow
Serene environmen... Read more",PREMIUM, 3,https://dve7rykno93gs.cloudfront.net/temp/out/87658c,https://meqasa.com/house-for-rent-at-oyarifah-087658?y=1865434928,"3 bedroom house for rent at oyarifah, Ghana","
			  PriceGH₵3,900 / month
			","
				3
				3
				2
				150 m2
				
			",Today,https://meqasa.com/properties-listed-by-PARADISE%20MARKETING%20CONCEPT?g=1366166558,https://dve7rykno93gs.cloudfront.net/fascimos/somics/23159892,https://dve7rykno93gs.cloudfront.net/assets2/images/vbadge2.png
